,gen,avg,max
0,0,45.3,51.75
1,1,48.725,51.75
2,2,49.15,51.75
3,3,50.25,52.0
4,4,51.325,52.0
5,5,51.6,52.0
6,6,52.0,52.0
7,7,52.425,56.25
8,8,52.275,56.25
9,9,53.4,56.25
10,10,54.325,56.25
11,11,55.625,56.25
12,12,54.4,56.25
13,13,54.875,56.25
14,14,54.25,56.25
15,15,54.175,56.25
16,16,52.925,56.25
17,17,53.575,56.25
18,18,53.05,56.25
19,19,54.0,56.25
20,20,55.025,56.25
21,21,54.875,56.25
22,22,55.175,56.25
23,23,53.7,56.25
24,24,55.1,56.25
25,25,55.525,56.25
26,26,54.8,56.25
27,27,51.95,56.25
28,28,54.175,56.25
29,29,53.3,56.25
30,30,55.5,56.25
31,31,54.8,56.25
32,32,55.225,56.25
33,33,55.575,56.25
34,34,56.25,56.25
35,35,53.375,56.25
36,36,55.65,56.25
37,37,53.4,56.25
38,38,54.725,56.25
39,39,55.55,56.25
40,40,53.225,56.25
41,41,56.25,56.25
42,42,55.275,56.25
43,43,56.25,56.25
44,44,55.125,56.25
45,45,56.25,56.25
46,46,56.25,56.25
47,47,53.6,56.25
48,48,55.1,56.25
49,49,54.975,56.75
50,50,54.425,56.75
