,gen,avg,max
0,0,45.21666666666667,51.75
1,1,47.4,49.75
2,2,48.78333333333333,53.0
3,3,49.35,53.0
4,4,49.9,53.0
5,5,50.63333333333333,53.0
6,6,50.166666666666664,53.0
7,7,51.95,53.0
8,8,51.95,53.0
9,9,51.666666666666664,53.0
10,10,52.15,53.0
11,11,52.083333333333336,53.75
12,12,52.36666666666667,53.75
13,13,52.5,53.75
14,14,52.78333333333333,54.5
15,15,51.516666666666666,54.5
16,16,51.266666666666666,54.5
17,17,53.4,56.0
18,18,54.2,56.0
19,19,53.916666666666664,56.0
20,20,54.43333333333333,56.0
21,21,53.583333333333336,56.0
22,22,53.5,56.0
23,23,53.45,56.0
24,24,52.916666666666664,56.0
25,25,53.233333333333334,56.0
26,26,54.45,56.0
27,27,53.88333333333333,56.0
28,28,53.53333333333333,56.0
29,29,53.166666666666664,56.0
30,30,52.78333333333333,56.0
31,31,53.38333333333333,56.0
32,32,54.31666666666667,56.0
33,33,54.016666666666666,56.0
34,34,54.016666666666666,56.0
35,35,54.7,56.0
36,36,53.13333333333333,56.0
37,37,52.916666666666664,56.0
38,38,54.21666666666667,56.0
39,39,54.96666666666667,56.0
40,40,55.583333333333336,56.0
41,41,54.483333333333334,56.0
42,42,54.25,56.0
43,43,54.88333333333333,56.0
44,44,54.36666666666667,56.0
45,45,55.65,56.0
46,46,54.05,56.0
47,47,54.233333333333334,56.5
48,48,55.06666666666667,56.5
49,49,55.03333333333333,56.5
50,50,53.15,56.5
