,gen,avg,max
0,0,45.38333333333333,48.5
1,1,46.11666666666667,50.5
2,2,47.7,54.25
3,3,49.516666666666666,54.25
4,4,49.6,54.25
5,5,49.9,54.25
6,6,51.8,54.25
7,7,52.55,54.25
8,8,53.1,54.25
9,9,52.96666666666667,54.25
10,10,52.85,54.25
11,11,52.666666666666664,54.25
12,12,53.35,54.25
13,13,53.516666666666666,54.25
14,14,52.333333333333336,54.25
15,15,53.11666666666667,54.25
16,16,54.25,54.25
17,17,53.583333333333336,54.25
18,18,54.25,54.25
19,19,53.21666666666667,54.25
20,20,52.21666666666667,54.25
21,21,53.016666666666666,54.25
22,22,52.15,54.25
23,23,51.166666666666664,54.25
24,24,53.083333333333336,54.25
25,25,52.93333333333333,54.25
26,26,53.583333333333336,54.25
27,27,53.2,54.25
28,28,52.766666666666666,54.25
29,29,53.03333333333333,54.25
30,30,51.8,54.25
31,31,52.7,54.25
32,32,52.766666666666666,54.25
33,33,51.95,54.25
34,34,52.416666666666664,54.25
35,35,52.25,54.25
36,36,53.28333333333333,54.25
37,37,53.233333333333334,54.25
38,38,52.71666666666667,54.25
39,39,53.31666666666667,54.25
40,40,51.833333333333336,54.25
41,41,53.43333333333333,54.25
42,42,54.25,54.25
43,43,53.28333333333333,54.25
44,44,53.15,54.25
45,45,53.06666666666667,54.25
46,46,54.25,54.25
47,47,53.7,56.5
48,48,55.31666666666667,56.75
49,49,55.25,56.75
50,50,55.1,56.75
