1,1,50,800,19.085146188735962
1,3,50,900,10.13417911529541
1,5,50,1482,9.017696142196655
1,10,50,2000,8.019629001617432
0,1,50,9300,189.93014907836914
0,3,50,13200,91.12902116775513
0,5,50,20500,85.44149112701416
0,10,50,32000,67.56663513183594
1,2,10,120,9.006407737731934
1,2,20,240,10.104429721832275
1,2,50,1000,13.328178882598877
1,2,100,2400,15.83760690689087
1,2,200,4000,13.025722980499268
0,2,10,1760,91.24870586395264
0,2,20,4000,103.13965916633606
0,2,50,11000,113.14392900466919
0,2,100,23600,121.01284098625183
0,2,200,47968,121.7684531211853
