1,2,10,180,9.007910013198853
1,2,20,357,9.011528253555298
1,2,50,1496,13.016009092330933
1,2,100,2400,11.06592321395874
1,2,200,5790,11.024150133132935
0,1,50,14400,195.53029036521912
0,3,50,22500,103.3452160358429
0,5,50,28500,79.46018481254578
0,10,50,52500,73.51259899139404
0,2,10,2640,91.14629983901978
0,2,20,6240,107.12535095214844
0,2,50,16200,111.524405002594
0,2,200,65316,110.67815923690796
0,2,100,35400,121.80485463142395
1,1,50,1350,21.014909982681274
1,3,50,2228,13.025145053863525
1,5,50,2250,10.028303861618042
1,10,50,3000,8.927411079406738
