1,1,50,500,23.364819049835205
1,3,50,150,5.310747861862183
1,5,50,750,9.009597301483154
1,10,50,1000,7.958662033081055
1,2,10,20,5.005478858947754
1,2,20,0,3.0040810108184814
1,2,50,400,11.01240587234497
1,2,100,1200,15.034069776535034
1,2,200,2000,13.029785633087158
0,1,50,7600,307.39125990867615
0,3,50,8550,117.18198704719543
0,5,50,9500,79.15809512138367
0,10,50,12500,53.134567737579346
0,2,10,1040,107.2095000743866
0,2,20,2480,127.16626000404358
0,2,50,7700,157.2038381099701
0,2,100,14600,149.3062388896942
0,2,200,30800,157.19744896888733
